Navn,Bjørn,,,
1/8,�,�,Finale,Vinner
Russland,Russland,Danmark,Danmark,Island
Uruguay,Portugal,England,Island,
Portugal,Danmark,Belgia,,
Spania,Sveits,Island,,
Frankrike,England,,,
Danmark,Colombia,,,
Argentina,Belgia,,,
Island,Island,,,
Brasil,,,,
Sveits,,,,
Tyskland,,,,
Mexico,,,,
Belgia,,,,
England,,,,
Polen,,,,
Colombia,,,,
